,property_name,host_name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,extra_people,guests_included,country,lat,long,availability_365,review_rating
0,Ocean View Waikiki Marina w/prkg,David,Condominium,Entire home/apt,Real Bed,3,365,strict_14_with_grace_period,2,1.0,1.0,96,1.0,115.0,100.0,0.0,1,United States,-157.83919,21.28634,343,84.0
1,Copacabana Apartment Posto 6,Ana Valéria,Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,4,1.0,3.0,70,2.0,119.0,150.0,40.0,3,Brazil,-43.19084919446341,-22.98433936006781,118,98.0
2,Private Room in Bushwick,Josh,Apartment,Private room,Real Bed,14,1125,flexible,1,1.0,1.0,1,1.5,40.0,94.07480119284294,0.0,1,United States,-73.93615,40.69791,0,100.0
3,Modern Spacious 1 Bedroom Loft,Konstantin,Apartment,Entire home/apt,Real Bed,1,1125,flexible,4,1.0,2.0,0,1.0,50.0,94.07480119284294,31.0,1,Canada,-73.59111,45.51889,0,93.09924038225925
4,Double Room en-suite (307),Ken,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,0,1.0,361.0,94.07480119284294,130.0,2,Hong Kong,114.17158,22.30469,365,93.09924038225925
5,"Soho Cozy, Spacious and Convenient",Giovanni,Apartment,Entire home/apt,Real Bed,4,20,flexible,3,1.0,2.0,3,1.0,699.0,94.07480119284294,0.0,1,Hong Kong,114.15027,22.28158,0,100.0
6,Apt Linda Vista Lagoa - Rio,Livia,Apartment,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,0,2.0,701.0,250.0,0.0,1,Brazil,-43.20504708263344,-22.971950988341877,363,93.09924038225925
7,New York City - Upper West Side Apt,Greta,Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,2,1.0,1.0,70,1.0,135.0,135.0,0.0,1,United States,-73.96523,40.79962,93,94.0
8,Charming Flat in Downtown Moda,Zeynep,House,Entire home/apt,Real Bed,2,1125,flexible,6,2.0,6.0,1,1.0,527.0,211.0,211.0,1,Turkey,29.03133,40.98585,362,100.0
9,Catete's Colonial Big Hause Room B,Beatriz,House,Private room,Real Bed,2,1125,strict_14_with_grace_period,8,1.0,8.0,1,4.0,250.0,0.0,40.0,4,Brazil,-43.18015675229857,-22.92638234778768,296,80.0
10,Nice room in Barcelona Center,Anna,Apartment,Private room,Real Bed,1,9,flexible,2,1.0,2.0,0,1.0,50.0,10.0,0.0,1,Spain,2.16942,41.40082,0,93.09924038225925
